City,Country,Latitude,longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
Alofi,NU,-19.06,-169.92,78.8,94,84,6.93,1603019794
Cherskiy,RU,68.75,161.3,20.84,92,77,9.95,1603019794
Saint Paul Harbor,US,57.79,-152.41,37.4,81,75,3.36,1603019794
Bilma,NE,18.69,12.92,98.76,8,0,2.77,1603019794
Saint-Philippe,RE,-21.36,55.77,82.4,61,90,17.22,1603019794
New Norfolk,AU,-42.78,147.06,52.0,75,93,2.77,1603019794
Busselton,AU,-33.65,115.33,69.01,38,11,15.14,1603019795
Aykhal,RU,66.0,111.5,6.8,92,0,4.47,1603019795
Saint-François,FR,46.42,3.91,51.8,66,20,4.7,1603019795
Yuci,CN,37.68,112.73,53.6,37,100,4.47,1603019795
Mataura,NZ,-46.19,168.86,41.07,90,100,0.85,1603019795
Enköping,SE,59.64,17.08,43.0,56,40,20.8,1603019795
Albany,US,42.6,-73.97,35.01,78,20,3.47,1603019795
Arraial do Cabo,BR,-22.97,-42.03,69.8,88,54,5.82,1603019796
Saldanha,ZA,-33.01,17.94,71.6,43,96,10.29,1603019796
Hambantota,LK,6.12,81.12,93.2,52,20,16.11,1603019796
Faanui,PF,-16.48,-151.75,78.82,81,5,7.27,1603019796
Avarua,CK,-21.21,-159.78,71.6,83,96,6.93,1603019796
Campeche,MX,19.0,-90.5,70.84,97,81,1.95,1603019796
Rikitea,PF,-23.12,-134.97,73.92,81,96,20.27,1603019796
Port Lincoln,AU,-34.73,135.87,52.39,72,0,9.22,1603019797
Puerto Ayora,EC,-0.74,-90.35,70.0,89,99,5.99,1603019797
Saint-Augustin,CA,51.23,-58.65,44.76,74,75,26.46,1603019799
Mersing,MY,2.43,103.84,86.0,74,92,3.36,1603019800
Salalah,OM,17.02,54.09,93.2,26,2,12.75,1603019800
Hermanus,ZA,-34.42,19.23,66.99,65,97,4.0,1603019800
Faya,SA,18.39,42.45,77.0,11,20,4.7,1603019800
Souillac,MU,-20.52,57.52,80.6,57,20,10.29,1603019800
Punta Arenas,CL,-53.15,-70.92,41.0,80,99,4.7,1603019800
Leningradskiy,RU,69.38,178.42,21.31,89,0,8.93,1603019800
Pevek,RU,69.7,170.31,24.91,94,29,17.45,1603019800
Verkhneyarkeyevo,RU,55.45,54.31,43.97,60,73,15.97,1603019801
Kapaa,US,22.08,-159.32,73.0,59,100,8.16,1603019682
George Town,MY,5.41,100.34,86.0,74,20,4.7,1603019724
Hobart,AU,-42.88,147.33,55.4,58,75,14.99,1603019575
Dikson,RU,73.51,80.55,21.09,92,0,27.67,1603019802
Ponta Delgada,PT,37.73,-25.67,62.6,59,20,5.82,1603019703
Minas,UY,-34.38,-55.24,68.0,93,20,9.17,1603019802
Salinópolis,BR,-0.61,-47.36,82.06,73,37,10.83,1603019802
Butaritari,KI,3.07,172.79,81.57,77,65,18.79,1603019802
Tiksi,RU,71.69,128.87,19.71,96,100,15.79,1603019802
Pavlivka,UA,49.44,28.46,48.2,76,75,8.95,1603019803
Goundam,ML,16.41,-3.67,100.58,11,7,21.14,1603019803
Chui,UY,-33.7,-53.46,63.82,89,42,7.05,1603019803
Ushuaia,AR,-54.8,-68.3,41.0,86,40,6.93,1603019803
Durban,ZA,-29.86,31.03,78.01,73,40,8.05,1603019579
